aX,aY,aZ,gX,gY,gZ
0.099,0.955,-0.246,-1.404,0.488,-1.160
0.099,0.954,-0.247,-1.465,0.549,-0.977
0.099,0.954,-0.247,-1.160,0.671,-1.160
0.098,0.952,-0.247,-1.221,0.671,-1.282
0.096,0.951,-0.248,-1.099,0.854,-1.099
0.098,0.953,-0.249,-0.977,0.854,-1.099
0.100,0.955,-0.250,-0.916,0.549,-1.038
0.101,0.956,-0.249,-0.916,0.366,-1.099
0.100,0.955,-0.250,-0.916,0.244,-1.160
0.100,0.955,-0.250,-0.793,0.366,-0.916
0.099,0.953,-0.251,-0.488,0.244,-0.854
0.100,0.951,-0.251,-0.366,0.000,-0.916
0.099,0.954,-0.251,-0.366,0.000,-0.916
0.097,0.955,-0.249,-0.366,0.061,-0.916
0.097,0.956,-0.246,-0.244,0.183,-0.854
0.099,0.955,-0.245,-0.122,0.305,-0.793
0.098,0.954,-0.245,0.000,0.000,-0.793
0.097,0.952,-0.245,-0.122,0.122,-0.793
0.098,0.954,-0.245,-0.183,0.366,-0.916
0.099,0.956,-0.242,-0.366,0.610,-0.854
0.101,0.958,-0.239,-0.488,0.671,-0.610
0.100,0.957,-0.239,-0.732,0.610,-0.549
0.099,0.955,-0.240,-0.732,0.549,-0.488
0.097,0.953,-0.241,-0.916,0.427,-0.549
0.097,0.951,-0.243,-1.221,0.488,-0.610
0.097,0.953,-0.245,-1.587,0.305,-0.671
0.096,0.954,-0.245,-1.404,0.610,-0.610
0.096,0.954,-0.245,-1.160,0.732,-0.671
0.096,0.954,-0.246,-1.404,0.854,-0.793
0.093,0.951,-0.244,-1.465,0.610,-1.038
0.095,0.955,-0.245,-1.648,0.732,-1.099
0.097,0.955,-0.245,-1.587,0.854,-0.977
0.098,0.954,-0.247,-1.465,0.916,-0.977
0.099,0.957,-0.247,-1.160,0.793,-0.977
0.096,0.950,-0.248,-1.221,0.488,-1.038
0.096,0.953,-0.248,-1.038,0.305,-1.160
0.093,0.952,-0.247,-1.099,0.305,-1.282
0.094,0.953,-0.248,-1.221,0.549,-1.160
0.095,0.956,-0.248,-1.160,0.427,-1.099
0.100,0.955,-0.248,-0.854,0.427,-1.221
0.101,0.956,-0.249,-0.916,0.549,-1.099
0.099,0.954,-0.248,-0.854,0.671,-1.221
0.097,0.953,-0.245,-0.793,0.732,-1.099
0.098,0.955,-0.244,-0.854,0.610,-0.977
0.098,0.958,-0.242,-1.038,0.671,-1.099
0.100,0.958,-0.241,-0.916,0.732,-1.160
0.100,0.957,-0.242,-1.099,0.793,-1.160
0.100,0.953,-0.243,-1.160,0.732,-1.099
0.096,0.951,-0.245,-1.465,0.610,-1.099
0.094,0.949,-0.247,-1.526,0.427,-1.221
0.093,0.949,-0.247,-1.465,0.610,-1.282
0.093,0.951,-0.247,-1.526,0.793,-1.404
0.093,0.953,-0.244,-1.648,1.221,-1.404
0.096,0.955,-0.241,-1.770,1.404,-1.465
0.100,0.959,-0.240,-2.014,1.343,-1.526
0.103,0.958,-0.240,-2.014,1.221,-1.404
0.104,0.958,-0.241,-2.197,1.038,-1.221
0.101,0.957,-0.242,-2.197,1.160,-1.221
0.099,0.955,-0.244,-2.197,1.526,-1.099
0.098,0.952,-0.245,-2.075,1.465,-0.854
0.098,0.954,-0.246,-2.258,1.709,-0.916
0.099,0.954,-0.246,-2.197,1.831,-0.854
0.102,0.958,-0.249,-2.136,1.587,-0.854
0.103,0.958,-0.253,-1.953,1.465,-0.671
0.101,0.957,-0.254,-1.648,1.038,-0.488
0.101,0.951,-0.259,-1.465,0.610,-0.366
0.100,0.949,-0.264,-1.526,0.610,-0.488
0.101,0.947,-0.265,-1.282,0.549,-0.427
0.099,0.949,-0.264,-0.977,0.610,-0.427
0.099,0.954,-0.262,-1.160,0.610,-0.488
0.099,0.957,-0.257,-0.610,0.671,-0.549
0.099,0.957,-0.254,-0.305,0.549,-0.427
0.099,0.957,-0.254,-0.061,0.610,-0.366
0.101,0.952,-0.254,-0.061,0.183,-0.427
0.099,0.952,-0.254,-0.061,0.183,-0.366
0.097,0.951,-0.252,-0.061,0.061,-0.427
0.095,0.950,-0.250,-0.183,0.244,-0.488
0.094,0.950,-0.248,-0.122,0.244,-0.732
0.094,0.953,-0.246,-0.366,0.366,-0.793
0.097,0.953,-0.246,-0.427,0.244,-0.854
0.095,0.953,-0.244,-0.549,0.366,-0.854
0.095,0.954,-0.243,-0.549,0.366,-1.099
0.097,0.955,-0.244,-0.610,0.671,-1.160
0.098,0.955,-0.244,-0.610,0.488,-1.038
0.097,0.957,-0.247,-1.038,0.427,-1.099
0.095,0.965,-0.248,-0.916,0.427,-1.160
0.091,0.938,-0.244,-1.465,0.610,-1.221
0.091,0.974,-0.247,-1.343,1.099,-1.343
0.094,0.942,-0.240,-1.099,1.282,-1.465
0.094,0.936,-0.240,-1.526,0.977,-1.648
0.090,0.952,-0.243,-1.587,1.343,-1.831
0.093,0.947,-0.244,-1.831,1.526,-1.770
0.102,0.951,-0.244,-1.892,1.465,-1.404
0.113,0.961,-0.246,-2.197,1.038,-1.282
0.120,0.963,-0.251,-2.258,0.427,-0.977
0.116,0.964,-0.259,-2.014,0.244,-0.488
0.103,0.965,-0.262,-1.831,0.549,-0.366
0.098,0.957,-0.265,-1.282,0.916,-0.244
0.095,0.949,-0.265,-0.916,1.282,-0.366
0.091,0.947,-0.260,-0.549,1.282,-0.671
0.090,0.947,-0.256,-0.305,1.282,-1.160
0.089,0.951,-0.252,-0.122,1.282,-1.282
0.093,0.957,-0.250,0.427,0.793,-1.282
0.100,0.959,-0.250,0.854,-0.244,-1.221
0.102,0.962,-0.251,1.038,-1.099,-1.160
0.102,0.958,-0.249,1.160,-1.526,-1.099
0.102,0.956,-0.253,1.282,-1.526,-1.099
0.101,0.954,-0.251,1.404,-1.343,-0.732
0.097,0.950,-0.249,1.160,-1.160,-0.732
0.096,0.951,-0.247,0.916,-0.488,-0.916
0.093,0.952,-0.240,0.610,0.183,-0.977
0.093,0.954,-0.233,0.122,0.610,-0.916
0.094,0.954,-0.228,-0.427,1.221,-0.671
0.098,0.955,-0.225,-1.282,1.526,-0.732
0.103,0.950,-0.222,-2.319,1.709,-0.610
0.105,0.948,-0.220,-3.235,1.892,-0.488
0.102,0.950,-0.221,-4.333,2.319,-0.366
0.097,0.953,-0.222,-5.005,2.747,-0.244
0.095,0.953,-0.222,-5.615,3.296,-0.244
0.089,0.950,-0.227,-6.287,3.784,-0.244
0.085,0.949,-0.235,-6.836,4.517,-0.671
0.083,0.950,-0.245,-6.775,5.127,-0.854
0.088,0.955,-0.253,-6.653,5.249,-0.854
