aX,aY,aZ,gX,gY,gZ
-0.074,0.911,-0.321,-0.977,20.691,-9.338
0.056,0.854,-0.340,0.671,18.860,-5.188
-0.008,0.879,-0.363,0.916,16.479,-1.709
-0.085,0.890,-0.388,2.991,22.095,2.075
-0.020,0.884,-0.420,4.089,29.175,6.653
0.059,0.930,-0.390,5.066,28.198,10.193
0.022,0.990,-0.356,5.371,24.963,12.207
-0.052,1.078,-0.317,7.996,27.039,15.015
-0.083,1.092,-0.321,10.315,30.029,17.212
-0.059,1.130,-0.333,11.108,31.250,18.494
-0.061,1.193,-0.336,13.855,32.349,19.287
-0.052,1.240,-0.363,18.311,33.875,21.118
-0.046,1.246,-0.365,21.667,35.461,22.827
-0.140,1.228,-0.360,23.193,37.170,23.254
-0.255,1.198,-0.305,24.780,41.931,22.644
-0.198,1.194,-0.265,25.635,45.532,20.996
-0.042,1.163,-0.277,22.217,43.152,19.043
-0.067,1.217,-0.286,16.968,39.795,15.747
-0.123,1.304,-0.310,13.489,42.542,12.634
-0.106,1.329,-0.335,10.925,49.316,12.024
-0.086,1.394,-0.265,8.911,57.739,12.207
-0.004,1.520,-0.171,9.155,64.026,11.780
0.136,1.615,-0.233,8.972,64.514,12.146
0.276,1.694,-0.389,8.850,60.120,13.794
0.380,1.718,-0.492,7.629,54.199,16.785
0.439,1.723,-0.548,8.789,48.401,21.362
0.464,1.595,-0.578,11.169,44.800,29.236
0.368,1.422,-0.591,13.306,44.983,41.687
0.223,1.306,-0.614,13.000,41.260,53.223
0.070,1.373,-0.714,9.705,33.386,70.190
-0.183,1.504,-0.819,1.343,26.855,85.022

-0.333,1.182,-0.230,23.315,10.498,21.851
-0.360,1.234,-0.208,24.719,9.338,22.522
-0.364,1.307,-0.185,23.560,9.521,23.621
-0.372,1.433,-0.127,23.437,11.047,24.109
-0.215,1.521,-0.116,23.926,11.414,24.780
-0.177,1.542,-0.216,20.874,7.202,24.414
-0.191,1.653,-0.300,18.738,3.784,26.062
-0.124,1.705,-0.385,16.724,4.089,28.076
-0.107,1.694,-0.426,13.733,7.263,30.334
-0.072,1.662,-0.453,11.108,12.756,34.363
0.015,1.620,-0.461,8.423,20.264,37.659
0.055,1.549,-0.461,5.798,27.771,41.626
0.090,1.486,-0.445,4.578,35.767,46.265
