aX,aY,aZ,gX,gY,gZ
0.188,1.196,-0.078,23.804,-35.095,-4.028
0.191,1.040,-0.114,41.748,-26.489,-33.020
0.167,0.894,-0.164,56.824,-21.057,-65.125
0.117,0.825,-0.227,69.641,-20.447,-97.656
0.093,0.723,-0.268,81.360,-21.729,-130.188
0.080,0.665,-0.302,90.271,-24.719,-161.682
0.006,0.676,-0.335,95.398,-25.879,-191.040
-0.110,0.774,-0.345,97.961,-20.447,-219.177
-0.162,0.848,-0.345,107.300,-8.667,-244.690
-0.027,0.782,-0.289,113.037,0.061,-269.104
-0.050,0.816,-0.238,115.662,8.789,-291.260
-0.115,0.921,-0.198,119.080,21.057,-306.824
-0.157,0.974,-0.182,119.507,33.997,-320.496
-0.170,1.056,-0.175,118.042,50.598,-331.665
-0.080,1.119,-0.167,114.807,56.885,-341.614
-0.062,1.177,-0.193,109.497,57.312,-349.792
-0.093,1.240,-0.215,104.004,58.411,-359.741
-0.251,1.342,-0.179,100.586,60.791,-372.253
-0.472,1.425,-0.154,95.093,54.199,-384.399
-0.479,1.522,-0.201,85.083,32.898,-398.376
-0.485,1.647,-0.287,72.937,4.333,-411.133
-0.635,1.761,-0.359,68.970,-20.325,-407.471
-0.708,1.755,-0.268,64.209,-45.044,-398.071
-0.870,1.894,-0.317,57.373,-68.359,-381.897
-1.447,2.156,-0.408,50.232,-73.730,-353.577
-2.121,2.330,-0.563,46.753,-61.340,-319.031
-2.592,2.442,-0.786,45.471,-46.021,-278.809
-2.562,2.343,-0.969,43.457,-46.021,-234.680
-1.839,1.959,-1.296,29.541,-10.925,-163.025
-2.363,1.526,-1.740,7.568,-84.045,-96.008
-2.827,1.579,-1.188,-0.854,-183.960,-50.171
-2.804,1.156,-1.611,21.851,-65.247,-7.141
-2.929,0.828,-1.382,26.367,-13.000,45.105
-2.761,0.798,-1.204,2.380,-43.579,92.712
-2.547,0.845,-1.193,-16.724,-35.156,117.920
-2.323,0.840,-1.013,-29.480,-22.827,146.545
-1.640,1.032,-0.990,-47.729,-26.001,165.527
-1.557,0.716,-2.342,-124.084,-68.176,204.468
1.635,1.857,-0.508,-144.287,-60.730,183.533
2.170,2.387,1.198,-120.300,5.310,182.739
-1.875,2.603,0.143,-137.634,-18.738,251.648
-2.223,2.345,-0.391,-149.048,-27.283,277.649
-1.256,1.707,-0.895,-141.296,24.902,269.775
-0.143,0.870,-0.951,-122.864,56.519,245.056
-0.108,0.105,-1.010,-144.287,20.142,210.815
-0.534,0.871,-0.595,-138.977,-0.854,166.870
-1.793,1.337,-0.376,-106.262,23.376,160.339
-1.391,1.587,-0.167,-105.164,27.832,136.108
-0.035,1.386,-0.380,-105.774,23.499,105.347
0.538,1.586,0.082,-86.121,14.832,91.675
-0.403,1.576,-0.210,-71.838,14.343,94.543
-0.913,1.431,-0.223,-53.223,14.221,97.900
-1.266,1.012,-1.138,-45.288,11.475,99.731
-0.461,1.203,-0.682,-9.033,29.114,92.651
0.296,0.843,-0.543,-8.789,41.077,61.096
0.013,1.339,-0.414,-10.742,43.152,44.983
-0.458,1.367,-0.800,-21.790,30.273,36.438
0.184,1.623,-0.323,-27.161,12.573,30.212
-1.074,2.161,-0.790,-19.470,9.033,34.973
0.148,1.877,-0.439,-12.756,23.987,21.667
0.074,2.300,-0.153,-10.986,28.015,31.616
0.769,2.295,0.204,-8.301,41.626,42.908
-0.054,2.293,-0.386,-15.076,45.105,61.707
-0.023,2.621,0.510,-4.822,49.194,69.702
-0.325,2.071,-0.386,-16.052,64.392,78.308
-0.075,2.188,0.174,1.038,86.365,77.942
0.930,1.441,-0.120,-5.127,94.116,78.369
1.178,1.551,0.063,-14.832,81.909,95.215
1.059,1.309,-0.055,-24.719,63.721,114.868
1.124,1.214,-0.075,-32.715,48.706,128.845
0.700,1.175,-0.282,-43.579,27.710,148.071
0.662,1.251,-0.161,-60.059,7.996,167.175
0.440,1.458,-0.052,-73.792,1.770,176.697
1.026,1.597,-0.028,-70.862,4.578,172.363
1.204,1.322,0.121,-71.350,7.812,184.387
1.079,1.114,0.161,-70.557,12.329,194.824
0.668,0.852,-0.055,-76.111,19.104,200.073
0.174,1.075,-0.113,-80.444,30.212,205.200
0.522,1.515,0.215,-88.257,38.025,215.271
0.850,1.863,0.071,-71.045,36.072,212.646
0.368,0.986,0.004,-54.810,49.377,183.777
0.425,1.030,0.179,-71.411,65.247,185.913
0.903,1.430,0.298,-54.932,71.594,178.772
0.971,1.363,0.221,-36.499,68.176,168.945
1.073,1.338,0.125,-23.010,55.969,154.419
1.146,1.385,0.040,-11.353,38.269,136.780
1.117,1.409,-0.049,-3.601,14.160,119.141
0.976,1.271,-0.127,-1.587,-3.967,96.680
0.676,1.232,-0.079,-1.953,-11.658,74.585
0.527,1.278,-0.114,2.075,-21.301,52.673
0.441,1.248,-0.164,6.592,-29.602,28.748
0.282,1.261,-0.207,15.991,-29.297,2.380
0.149,1.211,-0.198,33.630,-22.888,-25.757
0.197,1.037,-0.235,53.589,-14.160,-54.199
0.212,0.917,-0.282,69.641,-7.751,-84.717
0.214,0.881,-0.344,84.778,-5.127,-117.004
0.265,0.775,-0.398,97.107,-7.385,-149.536
0.257,0.767,-0.425,102.234,-11.902,-180.725
0.109,0.834,-0.513,104.126,-15.015,-209.290
