aX,aY,aZ,gX,gY,gZ
-1.242,2.006,-0.467,5.310,-68.420,-152.710
-1.179,1.379,-0.493,2.380,-93.323,-141.113
-1.193,1.215,-0.308,-27.161,-120.056,-147.400
-1.283,1.226,-0.488,-36.499,-110.535,-159.119
-1.458,1.319,-0.515,-33.997,-88.440,-154.175
-1.667,1.363,-0.443,-32.166,-57.129,-134.094
-1.802,1.365,-0.590,-22.705,-30.151,-110.901
-1.794,1.293,-0.672,-8.606,-10.071,-86.121
-1.651,1.144,-0.742,3.357,7.324,-65.430
-1.463,0.978,-0.638,3.296,20.264,-50.110
-1.197,0.944,-0.660,-4.395,27.039,-36.560
-0.983,1.045,-0.675,-10.864,30.212,-20.447
-0.841,1.156,-0.639,-10.071,30.945,-3.418
-0.735,1.152,-0.584,-6.165,29.968,12.024
-0.618,1.105,-0.452,-6.409,22.278,25.757
-0.426,0.970,-0.218,-16.663,16.174,49.377
-0.596,1.530,-0.729,-20.020,46.631,154.846
-0.849,0.711,-0.662,-24.597,34.729,150.452
-1.115,0.720,-0.750,-31.860,-12.512,135.193
-0.875,1.398,-0.127,-2.197,-45.776,149.902
0.363,1.554,0.153,19.714,-7.751,154.419
0.554,1.811,-0.730,42.603,37.476,184.448
-0.251,1.694,-0.694,29.480,59.448,167.664
0.612,1.449,-0.527,2.686,61.768,158.203
1.525,1.880,-0.803,0.183,12.817,133.972
1.142,1.493,-0.792,-13.672,-29.724,80.322
0.423,1.098,-0.724,-39.490,-51.208,66.528
-0.425,1.254,-0.593,-42.664,-57.800,64.880
-0.857,1.302,-0.196,-10.803,-47.913,65.552
-0.975,1.307,0.024,23.010,-27.405,65.979
-0.458,1.378,0.239,43.213,-10.315,65.002
0.486,1.966,-0.243,46.326,-31.921,55.908
1.621,2.521,-0.684,27.832,-68.542,17.456
0.853,2.309,-0.682,-15.747,-76.538,23.132
-1.284,1.698,-0.704,-50.842,-59.082,47.607
-1.539,1.405,-0.339,-34.302,-2.869,51.392
-0.947,0.749,-0.144,-13.367,22.827,40.955
-0.156,0.171,-0.208,6.592,12.634,45.288
-0.068,-0.125,-0.156,3.418,-5.676,39.551
-0.678,0.611,-0.349,-1.404,-15.930,-6.104
-0.535,1.185,-0.534,9.827,-14.038,-18.555
-0.199,1.287,-0.399,16.418,-12.695,3.418
-0.380,1.056,-0.321,12.024,-4.517,7.446
-0.437,0.860,-0.332,5.676,2.930,1.282
-0.340,0.894,-0.263,10.071,6.470,-2.808
-0.342,0.872,-0.257,15.198,9.399,-3.906
-0.346,0.823,-0.281,12.878,8.789,-3.418
-0.290,0.854,-0.319,9.033,6.165,-3.601
-0.285,0.892,-0.356,8.911,4.944,-2.808
-0.274,0.937,-0.375,10.498,8.179,0.854
-0.238,0.925,-0.386,11.047,11.169,5.432
-0.216,0.895,-0.368,10.071,13.489,9.949
-0.197,0.876,-0.359,6.958,14.954,11.230

-0.018,0.926,-0.346,15.198,9.155,35.156
-0.098,0.937,-0.309,14.587,10.986,39.490
-0.034,0.961,-0.309,16.113,12.329,43.152
-0.002,0.963,-0.336,18.005,12.512,46.814
-0.039,0.947,-0.357,17.883,12.268,52.185
-0.047,0.933,-0.342,17.151,12.512,59.326
0.032,0.981,-0.339,17.578,13.611,66.406
0.027,1.002,-0.354,18.738,13.306,72.754
-0.012,0.963,-0.400,18.921,12.268,78.979
0.032,0.969,-0.417,18.738,12.573,83.435
-0.131,0.952,-0.373,20.325,14.099,86.304
-0.199,0.938,-0.330,19.836,19.775,89.783
-0.267,0.995,-0.175,21.606,27.161,92.224
-0.361,1.078,-0.015,22.766,35.950,92.407
-0.190,1.111,-0.059,20.020,40.710,94.543
-0.116,1.103,-0.159,16.907,32.715,99.731
-0.292,1.074,-0.270,14.099,23.071,102.356
-0.351,1.096,-0.314,9.583,23.254,105.225
-0.332,1.257,-0.263,10.742,27.405,111.084
-0.274,1.448,-0.208,13.184,31.372,115.601
-0.213,1.504,-0.178,9.827,30.701,114.014
-0.114,1.594,-0.125,5.371,29.358,130.493
-0.021,1.539,-0.217,0.732,26.062,150.696
-0.123,1.321,-0.372,-2.930,23.254,166.382
-0.343,0.962,-0.430,-6.470,26.245,173.523
-0.552,0.539,-0.458,-17.578,31.677,169.678
-0.715,0.368,-0.411,-31.189,43.091,153.931
-0.587,0.389,-0.355,-25.635,59.204,137.085
-0.460,0.278,-0.274,-12.024,65.735,125.305
-0.634,0.226,-0.198,-7.324,64.453,118.225
-0.655,0.301,-0.130,-9.399,64.697,113.953
-0.546,0.526,-0.067,-6.714,57.495,109.558
-0.478,0.817,-0.082,-2.014,46.570,106.201
-0.419,1.037,-0.131,-2.014,35.950,108.765
-0.564,1.213,-0.206,-5.676,26.184,114.197
-0.639,1.430,-0.354,-9.644,24.536,118.713
-0.516,1.670,-0.486,-8.362,26.184,124.146
-0.514,1.861,-0.574,-5.981,28.564,132.202
-0.545,1.946,-0.663,-6.775,37.964,138.550
-0.442,2.048,-0.733,-3.418,51.697,142.151
-0.365,2.047,-0.731,8.179,65.552,145.142
-0.344,1.797,-0.650,20.447,78.613,142.578
-0.385,1.504,-0.504,32.898,87.097,131.958
-0.440,1.128,-0.387,43.884,88.623,120.483
-0.624,0.814,-0.251,53.589,86.182,109.924
-0.787,0.489,-0.202,64.148,78.796,99.609
-0.775,0.085,-0.095,67.749,74.646,86.548
-0.937,-0.110,0.178,61.035,79.041,72.693
-0.931,-0.209,0.021,68.420,70.129,76.416
-0.664,-0.411,-0.236,71.411,51.208,67.932
-0.440,-0.557,-0.163,49.438,31.067,37.109
-0.371,-0.424,-0.013,36.926,19.165,20.752
-0.364,-0.330,-0.044,32.043,10.742,19.287
-0.426,-0.171,-0.146,26.184,5.920,17.334
-0.317,-0.082,-0.265,22.339,8.057,7.446
-0.016,-0.088,-0.334,18.921,14.221,-6.836
0.204,-0.087,-0.260,15.198,15.808,-23.682
0.148,-0.136,-0.053,5.188,9.216,-42.297
0.056,-0.160,-0.026,-9.521,0.549,-54.321
0.383,0.042,0.089,-21.484,-5.981,-63.843
0.694,0.306,0.074,-22.583,-14.648,-80.750
0.839,0.412,0.080,-17.578,-28.992,-104.248
0.775,0.395,-0.010,-16.968,-45.288,-125.244
0.497,0.337,-0.203,-25.879,-55.115,-137.939
