aX,aY,aZ,gX,gY,gZ
0.414,0.756,-0.390,9.766,85.388,122.375
-0.183,0.545,-0.299,7.019,78.064,104.248
-0.246,0.255,-0.516,-2.686,54.993,83.313
0.248,0.370,-0.331,-4.395,31.921,53.894
0.549,0.371,-0.262,-4.822,9.583,26.245
0.665,0.524,-0.057,-8.179,-4.578,5.615
-0.036,0.455,-0.301,-24.048,-0.610,-1.282
0.208,0.432,-0.208,-22.827,3.723,-21.606
0.465,0.183,-0.040,-17.151,13.123,-53.650
0.561,0.008,-0.010,-15.991,19.104,-80.566
0.492,-0.008,-0.036,-18.127,22.705,-99.854
0.443,0.071,-0.086,-22.278,16.541,-114.624
0.352,0.197,-0.093,-25.024,8.850,-127.136
0.251,0.276,-0.134,-25.696,0.671,-141.174
0.174,0.333,-0.145,-25.024,-7.507,-156.006
0.126,0.377,-0.146,-24.231,-16.663,-172.424
0.112,0.420,-0.151,-24.292,-24.658,-187.683
0.099,0.461,-0.139,-26.062,-32.227,-202.576
0.118,0.489,-0.140,-27.283,-39.795,-216.736
0.157,0.512,-0.136,-27.649,-47.668,-229.736
0.221,0.522,-0.157,-28.320,-57.434,-241.638
0.205,0.558,-0.196,-30.212,-66.406,-251.831
0.198,0.596,-0.240,-32.288,-72.632,-261.597
0.260,0.647,-0.254,-35.645,-78.918,-272.644
0.271,0.718,-0.291,-39.795,-84.167,-283.752
0.250,0.815,-0.339,-43.457,-86.121,-294.128
0.213,0.911,-0.388,-46.875,-80.566,-304.932
0.214,1.050,-0.431,-48.889,-68.665,-315.857
0.241,1.208,-0.377,-48.523,-58.044,-326.599
0.223,1.397,-0.336,-47.241,-50.537,-334.045
0.151,1.555,-0.388,-48.828,-46.692,-345.459
0.158,1.718,-0.412,-50.476,-47.241,-347.656
-0.049,1.822,-0.450,-45.837,-17.029,-361.145
0.009,2.013,-0.543,-36.682,1.282,-352.661
0.034,2.176,-0.622,-29.541,1.587,-340.698
-0.047,2.262,-0.631,-30.762,-8.789,-327.637
-0.480,2.361,-0.475,-33.142,-9.644,-318.054
-0.670,2.304,-0.447,-43.213,-20.142,-313.843
-0.673,2.289,-0.459,-54.138,-43.518,-300.903
-0.700,2.302,-0.502,-61.157,-61.218,-275.818
-0.770,2.383,-0.490,-60.974,-76.538,-247.192
-0.871,2.249,-0.511,-54.443,-87.463,-216.614
-0.941,1.984,-0.472,-48.523,-93.750,-184.631
-1.261,1.839,-0.396,-45.166,-96.252,-152.161
-1.757,1.791,-0.329,-42.358,-84.106,-116.211
-2.111,1.651,-0.161,-34.973,-53.589,-70.679
-1.946,1.372,-0.026,-26.489,-26.489,-15.625
-1.503,1.291,0.003,-20.386,-21.240,41.870
-1.111,1.354,-0.034,-15.564,-33.386,92.224
-0.962,1.426,-0.119,-11.414,-59.448,129.211
-0.837,1.392,-0.226,-13.306,-84.595,154.236
-1.092,1.457,-0.110,-14.404,-99.976,181.213
-0.906,1.349,-0.317,-15.259,-109.497,193.176
0.707,1.096,-0.848,-14.465,-115.234,162.781
2.838,0.846,-1.153,-14.587,-100.464,106.079
2.494,0.883,-0.117,-7.690,-30.273,77.515
0.402,1.495,1.176,18.799,1.343,119.507
-1.108,1.384,0.238,16.418,-44.373,174.194
-1.404,1.559,-0.283,3.967,-70.862,198.486
-0.492,1.945,-0.789,-6.592,-63.477,186.829
0.133,1.909,-0.441,-12.207,-42.786,164.246
0.176,1.365,-0.596,-21.301,-14.526,153.931
-0.272,1.245,-0.017,-18.250,9.521,154.358
0.082,0.969,-0.429,-21.362,6.348,153.748
-0.446,0.707,-0.573,-40.771,-11.658,151.794
-0.102,0.915,-1.277,-47.791,-31.982,137.451
-0.723,1.214,-0.237,-30.884,-17.883,123.779
-0.193,1.294,-0.672,-18.921,5.127,115.662
-1.147,0.971,-0.256,-22.034,24.292,105.896
0.349,1.502,-0.671,1.099,53.101,83.069
-0.448,0.932,-0.318,6.165,68.848,72.021
0.143,1.275,-0.256,14.282,79.468,61.279
0.039,0.796,-0.447,10.620,76.111,53.467
0.146,1.035,-0.363,2.563,76.599,49.011
0.120,0.948,-0.288,4.028,62.988,43.213
0.588,1.092,-0.270,5.920,45.654,34.363
-0.418,0.775,-0.359,-4.883,29.297,37.292
0.483,1.195,-0.285,7.874,22.339,24.841
-0.214,0.697,-0.473,-2.136,17.273,19.836
-0.126,0.900,-0.441,3.418,16.785,16.174
0.066,0.818,-0.446,3.052,17.578,6.409
-0.050,0.964,-0.377,6.958,22.461,4.333
0.343,0.733,-0.328,6.897,26.428,-2.441
-0.170,1.016,-0.378,5.676,31.616,2.075
0.504,0.724,-0.328,5.310,33.508,-3.967
