aX,aY,aZ,gX,gY,gZ
0.067,0.818,-0.248,35.217,85.815,-67.627
-0.008,0.460,-0.160,36.560,83.557,-62.683
0.031,0.317,-0.069,33.752,75.500,-55.603
0.083,0.329,-0.063,39.612,65.674,-50.171
0.127,0.265,-0.081,39.429,62.012,-50.537
0.207,0.229,-0.075,34.363,60.852,-52.917
0.290,0.250,-0.059,34.485,58.472,-55.786
0.353,0.283,-0.075,38.696,54.199,-62.378
0.413,0.309,-0.121,41.443,49.133,-72.998
0.467,0.356,-0.180,42.419,43.640,-87.097
0.508,0.393,-0.235,42.053,36.926,-104.248
0.539,0.403,-0.283,39.856,28.137,-123.291
0.540,0.395,-0.321,35.889,17.456,-142.151
0.499,0.373,-0.351,29.785,5.615,-158.447
0.434,0.347,-0.380,22.705,-6.165,-169.250
0.364,0.330,-0.411,15.747,-17.761,-174.622
0.315,0.300,-0.426,8.301,-29.602,-177.063
0.282,0.274,-0.433,-1.465,-41.077,-179.382
0.264,0.297,-0.449,-12.329,-52.979,-181.519
0.315,0.332,-0.362,-27.527,-63.599,-182.800
0.125,0.140,-0.500,-56.396,-49.622,-194.214
0.271,0.540,-0.442,-62.256,-72.693,-192.627
0.307,0.589,-0.354,-40.039,-110.046,-183.533
0.055,0.480,-0.519,-52.185,-110.107,-186.523
0.031,0.618,-0.531,-55.115,-102.722,-186.768
0.006,0.600,-0.526,-64.941,-99.426,-184.387
-0.028,0.661,-0.548,-58.533,-98.389,-176.086
-0.066,0.728,-0.562,-59.448,-90.759,-171.509
-0.049,0.977,-0.568,-55.481,-86.548,-169.312
-0.010,1.237,-0.621,-46.082,-90.515,-170.532
0.007,1.405,-0.679,-36.072,-100.891,-175.842
-0.017,1.547,-0.683,-25.024,-118.713,-182.373
-0.215,1.635,-0.750,-12.207,-132.935,-187.195
-0.439,1.469,-0.712,-9.399,-148.010,-188.721
-0.830,1.401,-0.757,-11.047,-148.071,-183.472
-1.165,1.249,-0.652,-19.409,-146.790,-168.762
-1.543,1.206,-0.584,-33.630,-134.155,-148.865
-1.848,1.177,-0.527,-57.495,-118.530,-129.944
-2.063,1.290,-0.472,-88.379,-96.069,-116.882
-2.432,1.463,-0.828,-114.075,-45.654,-115.479
-2.145,2.172,-0.231,-72.754,-60.974,-97.473
-2.492,1.986,-0.184,-20.874,-39.673,-79.590
-2.710,2.154,-0.304,44.250,-19.043,-60.974
-2.804,1.282,0.075,30.945,-1.038,-50.720
-2.899,1.179,-0.133,39.490,11.475,-32.532
-2.865,0.783,-0.123,22.644,20.203,-12.756
-2.726,0.610,-0.176,-12.146,22.644,3.906
-2.654,0.618,-0.289,-34.729,28.442,20.935
-2.605,0.982,-0.192,-48.462,35.461,37.415
-2.551,1.195,-0.079,-1.709,42.725,65.125
-2.466,1.396,0.057,-8.667,54.504,65.186
-1.364,4.000,-1.098,86.731,59.143,42.847
0.046,1.752,-0.528,328.918,-18.250,75.562
0.102,0.213,-0.175,239.441,-66.895,52.246
0.344,0.882,0.201,166.077,-74.158,47.852
-0.503,-0.025,0.037,50.415,-50.537,29.541
-0.129,0.162,-0.223,-94.727,-10.864,0.610
-0.185,1.302,-0.519,-82.947,35.645,5.554
0.159,1.287,-0.132,-6.042,20.508,22.278
-0.175,0.689,-0.361,-38.269,15.137,-6.958
-0.301,1.359,-0.406,12.451,30.090,0.366
0.189,0.824,-0.203,-2.136,12.512,2.258
0.015,0.855,-0.168,-16.113,-6.042,6.348
-0.027,0.953,-0.267,-13.855,-6.897,5.554
0.007,0.953,-0.205,-15.503,-12.512,4.822
0.009,0.922,-0.283,-12.939,-17.212,5.127
-0.041,0.967,-0.269,-16.357,-21.606,3.784
0.105,0.949,-0.335,-18.066,-20.508,1.831
0.081,1.051,-0.311,-16.296,-18.982,2.686
-0.169,1.008,-0.387,-5.127,-13.733,6.714
0.274,0.995,-0.342,1.770,-7.812,6.042
-0.040,0.901,-0.294,2.014,-3.052,7.385
-0.277,0.961,-0.314,1.221,0.977,12.695
0.167,0.990,-0.290,-1.282,4.150,13.428
0.354,0.990,-0.321,-1.038,10.986,10.742
-0.538,1.033,-0.325,6.104,16.052,17.700
-0.005,0.974,-0.266,7.996,14.099,24.109
0.288,0.972,-0.188,0.427,8.911,21.973
-0.521,0.891,-0.344,-0.916,9.338,24.231
0.076,1.012,-0.258,-3.357,8.911,23.499
0.056,0.896,-0.249,-0.244,5.432,22.461
-0.077,0.952,-0.384,5.310,4.944,20.813
-0.245,0.957,-0.246,7.690,6.348,19.714
-0.012,0.917,-0.289,8.423,3.479,18.921
0.098,0.920,-0.345,9.583,4.822,15.747
-0.216,0.976,-0.320,16.846,4.211,18.433
-0.060,0.947,-0.305,18.127,2.502,18.005
0.073,0.935,-0.258,21.606,2.075,16.602
-0.438,0.939,-0.258,25.452,0.793,18.066
0.210,0.917,-0.258,19.897,0.916,12.390
-0.099,0.890,-0.249,18.311,-0.916,10.437
-0.468,0.931,-0.281,16.357,-4.089,13.245
0.043,0.897,-0.218,12.512,-4.272,12.329
-0.234,0.890,-0.272,14.404,-1.099,13.367
-0.131,0.997,-0.289,10.986,5.554,9.949
-0.338,0.887,-0.206,13.489,9.216,11.353
-0.021,0.948,-0.243,16.357,11.536,9.766
-0.208,0.863,-0.234,14.465,13.794,7.324
-0.265,0.839,-0.214,2.808,12.207,5.066
0.015,0.808,-0.207,-8.606,12.085,-0.183
-0.131,0.935,-0.226,-14.771,7.263,-2.502
-0.231,0.913,-0.230,-14.160,0.244,1.343
0.086,0.973,-0.221,-11.780,-3.357,-0.732
-0.218,0.976,-0.267,-2.136,-3.113,1.709
-0.434,0.942,-0.269,-0.610,-4.028,4.211
-0.090,0.918,-0.212,0.366,-4.211,4.456
0.254,0.924,-0.268,-2.747,-2.502,-0.610
-0.498,0.900,-0.297,-8.118,-3.418,1.404
-0.405,0.921,-0.256,-11.658,-1.953,4.822
0.288,0.993,-0.216,-13.916,0.183,-0.488
-0.683,0.978,-0.356,2.380,0.427,10.986
-0.088,0.918,-0.221,0.366,-1.221,10.803
0.003,0.924,-0.220,-0.916,0.000,12.207
-0.165,0.859,-0.373,-5.615,2.991,13.428
-0.301,0.989,-0.249,-7.751,5.493,13.367
-0.192,0.970,-0.279,-4.944,4.700,17.517
-0.001,0.947,-0.265,-5.981,6.287,17.456
-0.239,0.975,-0.239,-5.859,4.395,23.743
-0.155,0.974,-0.306,-6.531,9.583,27.466
-0.226,1.110,-0.297,-5.005,14.282,32.288
-0.064,0.980,-0.314,-4.700,11.841,40.527
-0.120,1.021,-0.307,-3.235,11.841,43.884
-0.509,0.970,-0.335,-4.333,11.597,53.162
-0.137,1.049,-0.324,-1.953,15.686,62.317
-0.299,0.946,-0.243,-1.465,17.578,69.885
-0.240,1.082,-0.340,-1.526,21.606,77.637

0.572,0.421,-0.452,6.042,-17.517,-170.166
0.501,0.399,-0.450,2.380,-32.288,-174.683
0.425,0.379,-0.453,-3.052,-46.387,-176.514
0.348,0.360,-0.462,-11.475,-59.204,-177.002
0.292,0.364,-0.480,-22.034,-70.251,-176.392
0.247,0.374,-0.489,-34.302,-79.773,-175.598
0.203,0.394,-0.499,-50.720,-88.196,-176.392
0.415,0.444,-0.311,-76.782,-115.906,-178.040
-0.161,0.570,-0.766,-93.628,-103.455,-181.030
0.209,0.881,-0.420,-86.609,-99.182,-184.814
0.052,0.207,-0.302,-135.986,-126.648,-194.092
0.130,1.384,-0.517,-75.439,-151.611,-173.035
-0.095,1.047,-0.546,-56.946,-140.808,-172.302
-0.246,1.291,-0.632,-33.875,-108.032,-171.326
-0.289,1.231,-0.573,-22.217,-77.271,-175.232
-0.258,1.431,-0.577,-18.616,-63.660,-176.819
-0.221,1.347,-0.485,-11.658,-81.543,-168.762
-0.339,1.284,-0.450,-16.174,-100.403,-158.203
-0.572,1.379,-0.510,-25.574,-111.328,-146.118
-0.807,1.472,-0.546,-21.423,-110.413,-131.042
-0.980,1.545,-0.495,-3.845,-109.985,-112.305
-1.291,1.439,-0.537,13.672,-102.173,-95.093
-1.393,1.444,-0.475,28.931,-102.844,-82.153
-1.989,0.903,-0.673,9.155,-78.857,-81.482
-1.641,1.112,-0.414,-21.790,-68.115,-86.975
