aX,aY,aZ,gX,gY,gZ
-0.015,0.990,-0.158,-11.719,2.319,4.211
0.108,0.946,-0.233,-12.878,4.028,5.005
-0.151,1.001,-0.165,-10.803,2.991,4.822
0.156,0.972,-0.206,-12.634,-0.183,4.211
-0.007,0.939,-0.157,-12.085,-0.366,4.333
-0.023,0.939,-0.170,-13.306,2.014,4.883
0.151,0.925,-0.208,-12.207,2.380,2.686
0.100,0.974,-0.220,-12.085,2.197,3.540
-0.012,0.870,-0.200,-5.493,3.357,6.958
0.135,0.916,-0.254,0.244,4.150,6.104
0.031,0.927,-0.224,-12.512,3.845,3.845
-0.083,0.903,-0.160,-17.822,4.395,4.822
-0.103,0.962,-0.115,-16.907,1.221,3.723
0.214,0.942,-0.230,-16.235,0.366,1.709
-0.035,0.993,-0.262,-5.554,4.272,6.226
-0.427,1.041,-0.141,5.249,3.357,10.254
0.354,0.866,-0.261,-4.700,2.014,2.686
-0.208,0.986,-0.172,-10.803,1.892,5.798
-0.199,0.954,-0.193,-18.799,0.610,2.869
0.123,0.991,-0.245,-18.799,-3.357,1.038
-0.130,1.009,-0.194,-14.709,-0.183,3.540
0.115,0.905,-0.245,-10.925,0.793,3.357
0.039,1.026,-0.265,-3.784,1.831,5.005
-0.201,0.965,-0.237,0.549,6.287,5.127
0.087,0.856,-0.257,-5.676,6.653,3.235
-0.046,0.970,-0.210,-8.545,7.080,3.235
-0.035,0.972,-0.214,-13.184,4.761,1.892
0.049,0.926,-0.238,-10.254,2.808,4.578
-0.056,0.917,-0.226,-13.184,3.418,3.723
0.078,0.991,-0.315,-14.465,1.404,2.014
-0.023,0.924,-0.202,-4.395,0.977,6.042
-0.184,1.001,-0.179,-2.136,-0.488,5.920
0.009,0.932,-0.261,-7.446,1.404,3.479
-0.050,0.964,-0.210,-1.404,3.418,5.615
-0.078,0.980,-0.268,0.671,3.845,5.493
-0.107,0.921,-0.239,0.916,3.723,5.493
0.004,0.902,-0.275,-5.432,1.587,3.540
-0.050,0.999,-0.233,2.747,2.686,6.042
-0.134,0.996,-0.229,5.432,3.357,6.104
0.226,0.900,-0.306,4.150,4.211,5.127
-0.100,1.049,-0.197,12.390,6.042,8.362
-0.093,0.927,-0.260,10.864,6.165,6.653
0.194,0.885,-0.299,4.456,5.676,5.188
-0.088,0.988,-0.187,11.658,6.409,7.690
-0.372,1.067,-0.216,16.785,6.042,8.301
0.121,0.878,-0.294,10.986,7.263,6.287
0.234,0.985,-0.292,10.559,10.925,7.385
-0.621,1.067,-0.136,24.109,11.353,12.024
0.130,0.891,-0.308,20.142,8.301,11.658
-0.041,1.083,-0.181,18.677,10.986,16.663
-0.493,1.010,-0.180,23.254,12.695,22.217
0.140,1.003,-0.272,17.883,8.850,25.696
-0.153,0.962,-0.133,18.677,14.709,32.837
0.060,0.976,-0.278,13.062,13.062,38.513
-0.006,0.999,-0.236,9.705,13.062,47.302
-0.145,1.044,-0.143,8.789,16.235,56.824
-0.155,1.057,-0.248,6.409,15.991,62.012
-0.042,0.913,-0.231,7.751,15.991,66.956
0.029,1.143,-0.233,6.409,13.611,69.092
-0.372,1.161,-0.190,8.850,15.320,73.853
0.150,1.093,-0.353,8.484,15.137,83.130
-0.175,1.112,-0.262,9.827,21.667,99.487
-0.437,1.209,-0.224,10.681,28.320,119.141
-0.010,1.143,-0.278,4.639,32.593,137.817
-0.323,1.229,-0.169,-5.127,41.809,155.579
-0.117,1.278,-0.244,-9.827,46.143,172.974
-0.506,1.354,-0.228,-9.399,50.781,192.322
-0.145,1.419,-0.363,-15.869,57.495,213.867
-0.391,1.636,-0.348,-12.939,64.392,235.596
-0.531,1.728,-0.432,-4.456,69.824,253.662
-0.260,1.968,-0.655,8.545,72.021,263.489
-0.620,1.853,-0.568,25.024,76.355,270.752
-0.547,1.881,-0.578,26.978,77.148,269.470
-0.221,2.178,-0.746,24.170,70.251,255.859
-0.407,2.253,-0.603,26.672,64.270,243.286
-0.508,2.043,-0.442,32.593,59.998,243.225
0.122,1.857,-0.413,39.124,54.871,246.460
0.581,1.657,-0.372,48.828,51.575,246.582
0.183,1.292,-0.244,67.688,61.462,259.705
-0.097,0.699,-0.131,37.964,89.294,244.873
0.382,2.650,-0.390,25.574,102.417,172.729
0.891,2.004,-0.308,-13.367,106.323,100.769
0.818,2.193,-0.350,-27.283,106.201,43.579
0.631,1.810,-0.341,4.578,101.318,-2.625
0.576,1.235,-0.263,29.663,92.712,-43.335
0.480,0.812,-0.226,57.129,82.520,-81.848
0.410,0.500,-0.273,80.139,73.425,-115.112
0.467,0.304,-0.338,91.125,64.453,-127.014
0.422,0.163,-0.331,85.144,55.298,-122.070
0.352,0.039,-0.314,67.993,46.265,-109.985
0.315,0.043,-0.372,51.575,36.560,-94.971
0.355,0.119,-0.429,41.931,27.283,-84.351
0.455,0.164,-0.413,31.555,18.616,-82.275
0.511,0.228,-0.404,22.217,8.850,-88.257
0.543,0.334,-0.418,14.160,-2.197,-100.098
0.570,0.472,-0.438,5.310,-14.282,-114.014
0.577,0.565,-0.438,-5.188,-29.114,-127.197
0.543,0.637,-0.444,-14.099,-45.654,-138.977
0.498,0.664,-0.434,-22.461,-61.096,-149.414
0.439,0.692,-0.419,-31.250,-74.280,-159.058
0.352,0.673,-0.383,-41.748,-84.534,-167.664
0.229,0.669,-0.338,-53.833,-90.454,-174.988
0.131,0.755,-0.306,-65.186,-91.431,-180.725
0.058,0.844,-0.272,-78.064,-93.140,-184.814
-0.097,0.989,-0.360,-77.332,-80.078,-187.744
0.051,0.999,-0.194,-87.219,-78.491,-196.228
0.118,1.455,-0.222,-88.257,-91.553,-191.040
-0.151,1.036,-0.201,-55.420,-93.079,-183.533
-0.210,1.417,-0.240,-45.227,-68.665,-183.289
-0.212,1.417,-0.214,-31.738,-45.898,-184.814
-0.208,1.628,-0.245,-15.076,-25.330,-186.523
-0.224,1.618,-0.265,0.671,-9.094,-189.514
-0.199,1.561,-0.253,4.395,-5.371,-194.336
-0.251,1.417,-0.274,-8.850,-4.272,-200.012
-0.311,1.389,-0.297,-23.682,-2.686,-202.942
-0.329,1.401,-0.308,-34.729,-0.366,-201.599
-0.370,1.461,-0.354,-39.429,5.737,-196.594
-0.360,1.512,-0.370,-42.725,12.207,-189.697
-0.305,1.513,-0.374,-43.091,13.977,-181.030
-0.324,1.676,-0.461,-32.288,12.512,-167.480
-0.284,1.592,-0.505,-26.611,4.211,-153.748
